tx_out,datetime_out,tx_in,datetime_in,asset,amount,base_price,actual_costs,actual_proceeds,gains_short_term,gains_long_term
,,1,2021-03-18T12:27:19Z,BNB,2.239,223.24750000000003,499.8511525,,,
,,2,2021-03-18T12:27:31Z,BNB,0.00065276,228.0279122495251,0.1488475,,,
3,2021-03-18T12:43:12Z,1,2021-03-18T12:27:19Z,BNB,-2.239,223.24750000000003,499.85115250000007,499.33473883458896,-0.5164136654111076,
3,2021-03-18T12:43:12Z,2,2021-03-18T12:27:31Z,BNB,-0.000652759999999919,228.0279122495251,0.1488474999999815,0.1455764824125171,-0.0032710175874643976,
,,3,2021-03-18T12:43:12Z,USDT,596.1955647,0.8377793208983956,499.48031531700144,,,
4,2021-03-18T16:23:30Z,3,2021-03-18T12:43:12Z,USDT,-24.92875,0.8377793208983956,20.88479124584588,20.885230843755064,0.0004395979091853519,
,,4,2021-03-18T16:23:30Z,ADA,18.4815,1.1300614584181514,20.885230843755064,,,
5,2021-03-18T16:48:56Z,4,2021-03-18T16:23:30Z,ADA,-0.0,1.1300614584181514,0.0,0.0,,
5,2021-03-18T16:48:56Z,3,2021-03-18T12:43:12Z,USDT,-24.917464,0.8377793208983956,20.87533606843022,20.898041806900252,0.022705738470033765,
,,5,2021-03-18T16:48:56Z,ADA,18.3816,1.1369000417210826,20.898041806900252,,,
,,6,2021-03-20T00:30:04Z,ADA,0.00786732,1.09822173338557,0.0,,0.008640061807498963,
,,7,2021-03-21T00:30:44Z,ADA,0.00786732,1.0315133907698204,0.0,,0.008115245929471224,
,,8,2021-03-21T03:53:04Z,USDT,0.07420718,0.8423518509272273,0.0,,0.06250855542508992,
9,2021-03-21T18:06:10Z,3,2021-03-18T12:43:12Z,USDT,-24.356618,0.8377793208983956,20.40547088742164,20.517575626197882,0.11210473877624239,
,,9,2021-03-21T18:06:10Z,THETA,2.5974,7.8992745153607,20.517575626197882,,,
10,2021-03-21T18:07:36Z,3,2021-03-18T12:43:12Z,USDT,-24.838866,0.8377793208983956,20.809488289366247,20.90983004177444,0.10034175240819465,
,,10,2021-03-21T18:07:36Z,TFUEL,77.922,0.26834308721252587,20.90983004177444,,,
,,11,2021-03-22T00:30:51Z,ADA,0.00786732,0.9908866608122978,0.0,,0.007795622444341808,
12,2021-03-22T00:49:32Z,3,2021-03-18T12:43:12Z,USDT,-23.863503,0.8377793208983956,19.992349337596828,20.13363526182657,0.1412859242297415,
,,12,2021-03-22T00:49:32Z,TRX,388.71090000000004,0.051795911207600735,20.13363526182657,,,
,,13,2021-03-22T01:22:55Z,USDT,0.06598768,0.843729596941603,0.0,,0.055675758649511485,
,,14,2021-03-22T05:15:56Z,ADA,3.1e-7,1.0089046814060592,0.0,,3.1276045123587834e-7,
15,2021-03-22T05:29:00Z,12,2021-03-22T00:49:32Z,TRX,-0.0,0.051795911207600735,0.0,0.0,,
15,2021-03-22T05:29:00Z,3,2021-03-18T12:43:12Z,USDT,-19.99591,0.8377793208983956,16.752159900545436,16.852811550294316,0.10065164974887963,
,,15,2021-03-22T05:29:00Z,TRX,317.58209999999997,0.0530659994700404,16.852811550294316,,,
16,2021-03-22T20:45:45Z,4,2021-03-18T16:23:30Z,ADA,-0.0,1.1300614584181514,0.0,0.0,,
16,2021-03-22T20:45:45Z,3,2021-03-18T12:43:12Z,USDT,-49.894779,0.8377793208983956,41.80081406699553,41.967010344253225,0.16619627725769703,
,,16,2021-03-22T20:45:45Z,ADA,45.2547,0.9273514208303939,41.967010344253225,,,
17,2021-03-22T21:22:47Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
17,2021-03-22T21:22:47Z,10,2021-03-21T18:07:36Z,TFUEL,-77.0,0.26834308721252587,20.66241771536449,25.771612081650403,5.109194366285912,
,,17,2021-03-22T21:22:47Z,USDT,30.79143075,0.8369735167843866,25.771612081650403,,,
,,18,2021-03-23T01:45:33Z,USDT,0.06598868,0.8405142319131068,0.0,,0.05546442468515979,
,,19,2021-03-23T01:51:26Z,ADA,6.2e-7,0.9287972213588638,0.0,,5.758542772424955e-7,
,,20,2021-03-23T03:18:29Z,ADA,0.00786732,0.9287972213588638,0.0,,0.007307144955541017,
21,2021-03-23T05:19:31Z,10,2021-03-21T18:07:36Z,TFUEL,-0.0,0.26834308721252587,0.0,0.0,,
21,2021-03-23T05:19:31Z,3,2021-03-18T12:43:12Z,USDT,-30.28774,0.8377793208983956,25.374442248747172,25.45727652248388,0.08283427373670804,
,,21,2021-03-23T05:19:31Z,TFUEL,69.93,0.3640394183109378,25.45727652248388,,,
,,22,2021-03-24T01:42:44Z,ADA,9.3e-7,0.9420907699690246,0.0,,8.76144416071193e-7,
,,23,2021-03-24T01:43:41Z,USDT,0.06633048,0.8447039725141556,0.0,,0.056029619954770744,
,,24,2021-03-24T04:18:13Z,ADA,0.00786732,0.9388483005871886,0.0,,0.0073862200121756014,
25,2021-03-24T19:15:57Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
25,2021-03-24T19:15:57Z,10,2021-03-21T18:07:36Z,TFUEL,-0.921999999999997,0.26834308721252587,0.24741232640994806,0.35935462265724705,0.11194229624729898,
25,2021-03-24T19:15:57Z,21,2021-03-23T05:19:31Z,TFUEL,-69.078,0.3640394183109378,25.14711493808296,26.923534299259643,1.776419361176682,
,,25,2021-03-24T19:15:57Z,USDT,31.4685,0.8669904482869184,27.28288892191689,,,
26,2021-03-24T19:22:49Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
26,2021-03-24T19:22:49Z,9,2021-03-21T18:06:10Z,THETA,-2.5,7.8992745153607,19.74818628840175,26.5900084600043,6.841822171602548,
,,26,2021-03-24T19:22:49Z,USDT,31.21875,0.8517320027228604,26.5900084600043,,,
